,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
509,Acer,Aspire Lite 15 AL15-51 2023  Laptop,45999,64,11th Gen Intel Core i5 1155G7,16GB,SSD,15.6,1920,1080,Windows 11 OS
513,Acer,Predator Triton 500 SE PT516-52s NH.QFQSI.001 Laptop,146990,86,12th Gen Intel Core i7 12700H,32GB,SSD,16,2560,1600,Windows 11 OS
515,Acer,Swift 3 SF314-512 NX.K0FSI.002 Laptop,59990,69.32352941,12th Gen Intel Core i5 1240P,8GB,SSD,14,2560,1440,Windows 11 OS
520,HP,Pavilion 14-EC1019AU Laptop,55990,69.32352941,5th Gen AMD Ryzen 5  5625U,16GB,SSD,14,1920,1080,Windows 11 OS
527,HP,15s-eq2143au Laptop,33999,69.32352941,5th Gen AMD Ryzen 3  5300U,8GB,SSD,15.6,1920,1080,Windows OS
528,Apple,MacBook Pro 16 inch MK183HN Laptop,215994,69.32352941,Apple M1 Pro M1 Pro,16GB,SSD,16.2,3456,2234,Mac OS
529,Apple,MacBook Pro 14 inch MKGQ3HN Laptop,215994,69.32352941,Apple M1 Pro M1 Pro,16GB,SSD,14.2,3024,1964,Mac OS
537,Apple,MacBook Air 2020 Laptop,72999,69.32352941,10th Gen Intel Core i3,8GB,SSD,13.3,2560,1600,"Mac 10.15.3	 OS"
538,Apple,MacBook Air 2020 Laptop,109999,69.32352941,10th Gen Intel Core i7,8GB,SSD,13.3,2560,1600,"Mac 10.15.3	 OS"
540,HP,ZBook 15 G6 Laptop,121900,69,9th Gen intel Core i7 9750H,16GB,SSD,15.6,3840,2160,Windows 10 OS
543,HP,15s-er2004AU Laptop,50490,69.32352941,5th Gen AMD Ryzen 7  5700U,16GB,SSD,15.6,1920,1080,Windows 11 OS
548,Acer,Aspire 3 A315-24P NX.KDESI.00B Laptop,33990,69.32352941,7th Gen AMD Ryzen 5 7520U,8GB,SSD,15.6,1920,1080,Windows 11 OS
563,Acer,Chromebook CB314-3H NX.K04SI.008 Laptop,26920,69.32352941,Intel Celeron N4500,8GB,SSD,14,1080,1920,Chrome OS
567,HP,Omen 17-ck2011TX Gaming Laptop,362999,88,13th Gen Intel Core i9 13900HX,32GB,SSD,17.3,2560,1440,Windows 11  OS
568,Acer,Aspire 5 A515-58GM 15 2023 Gaming Laptop,64990,65,13th Gen Intel Core i5 13420H,16GB,SSD,15.6,1920,1080,Windows 11 OS
569,Acer,Nitro V ANV15-51 UN.QNASI.002 Gaming Laptop,62990,64,13th Gen Intel Core i5 13420H,16GB,SSD,15.6,1920,1080,Windows 11 OS
